label,check
z,0
o,1
m,2
b,3
i,4
e,5
w,0
a,1
s,2
h,3
i,4
n,5
g,6
t,7
o,8
n,9
s,0
e,1
a,2
t,3
t,4
l,5
e,6
c,0
l,1
a,2
r,3
k,4
s,0
e,1
i,2
k,3
o,4
t,0
e,1
q,2
u,3
i,4
l,5
a,6
l,0
e,1
o,2
p,3
a,4
r,5
d,6
j,0
e,1
a,2
l,3
o,4
u,5
s,6
o,0
r,1
e,2
g,3
o,4
n,5
j,0
o,1
u,2
l,3
e,4
s,5
r,0
o,1
l,2
e,3
x,4
a,0
b,1
c,2
d,3
e,4
f,5
g,6
h,7
i,8
j,9
k,10
l,11
m,12
n,13
o,14
p,15
q,16
r,17
s,18
t,19
u,20
v,21
w,22
x,23
y,24
z,25
g,0
i,1
v,2
e,3
b,4
a,5
c,6
k,7
s,8
i,0
s,1
o,2
l,3
a,4
t,5
e,6
c,0
a,1
s,2
i,3
o,4
a,0
a,1
a,2
b,0
b,1
b,2
c,0
c,1
c,2
h,0
e,1
l,2
l,3
o,4
 ,5
w,6
o,7
r,8
l,9
d,10
b,0
l,1
a,2
z,3
e,4
 ,5
s,6
q,7
u,8
a,9
d,10
z,0
e,1
s,2
t,3
y,4
 ,5
w,6
a,7
x,8
e,9
n,10
 ,11
p,12
r,13
i,14
z,15
e,16
w,0
a,1
q,2
f,3
s,4
 ,5
v,6
o,7
z,8
h,9
d,10
 ,11
p,12
i,13
x,14
e,15
l,16
v,0
e,1
x,2
e,3
d,4
 ,5
f,6
j,7
o,8
r,9
d,10
 ,11
n,12
y,13
m,14
p,15
h,16
u,0
n,1
i,2
v,3
e,4
r,5
s,6
i,7
t,8
y,9
 ,10
l,11
i,12
q,13
u,14
a,15
t,16
e,17
s,18
t,0
w,1
i,2
n,3
e,4
 ,5
j,6
u,7
m,8
b,9
o,10
 ,11
w,12
h,13
i,14
s,15
k,16
 ,17
f,18
o,19
x,20
e,21
s,22
s,0
p,1
o,2
u,3
t,4
 ,5
j,6
e,7
l,8
l,9
y,10
 ,11
c,12
r,13
a,14
z,15
e,16
 ,17
v,18
o,19
u,20
c,21
h,22
s,0
p,1
i,2
k,3
y,4
 ,5
d,6
w,7
a,8
r,9
f,10
 ,11
p,12
o,13
u,14
c,15
h,16
s,0
m,1
o,2
k,3
y,4
 ,5
g,6
a,7
w,8
k,9
y,10
 ,11
v,12
o,13
u,14
c,15
h,16
 ,17
b,18
u,19
c,20
k,21
o,22
s,23
s,0
i,1
x,2
e,3
r,4
 ,5
j,6
a,7
z,8
z,9
y,10
 ,11
o,12
r,13
b,14
i,15
t,16
q,0
u,1
o,2
t,3
a,4
s,5
 ,6
j,7
o,8
u,9
l,10
e,11
s,12
 ,13
o,14
u,15
t,16
l,17
i,18
v,19
e,20
s,21
q,0
u,1
i,2
c,3
k,4
 ,5
t,6
w,7
i,8
r,9
l,10
 ,11
v,12
a,13
p,14
i,15
d,16
q,0
u,1
a,2
i,3
l,4
s,5
 ,6
e,7
q,8
u,9
a,10
l,11
s,12
 ,13
s,14
o,15
l,16
u,17
t,18
e,19
 ,20
s,21
q,22
u,23
e,24
a,25
l,26
p,0
i,1
n,2
t,3
o,4
 ,5
c,6
r,7
a,8
v,9
e,10
 ,11
f,12
l,13
o,14
c,15
k,16
 ,17
f,18
i,19
z,20
z,21
y,22
o,0
x,1
i,2
d,3
e,4
 ,5
z,6
o,7
n,8
a,9
l,10
 ,11
p,12
y,13
g,14
m,15
y,16
 ,17
f,18
e,19
t,20
c,21
h,22
o,0
v,1
u,2
l,3
a,4
t,5
e,6
s,7
 ,8
v,9
i,10
o,11
l,12
a,13
t,14
e,15
s,16
 ,17
f,18
e,19
s,20
t,21
i,22
v,23
a,24
l,25
m,0
y,1
t,2
h,3
s,4
 ,5
s,6
w,7
i,8
f,9
t,10
 ,11
q,12
u,13
a,14
k,15
e,16
 ,17
m,18
u,19
f,20
f,21
y,22
m,0
o,1
u,2
l,3
t,4
 ,5
c,6
h,7
a,8
r,9
m,10
 ,11
k,12
n,13
e,14
a,15
d,16
l,0
u,1
c,2
k,3
y,4
 ,5
q,6
u,7
a,8
r,9
k,10
 ,11
s,12
p,13
h,14
i,15
n,16
x,17
j,0
i,1
f,2
f,3
y,4
 ,5
v,6
i,7
x,8
e,9
n,10
 ,11
g,12
a,13
z,14
e,15
d,16
j,0
a,1
l,2
o,3
u,4
s,5
i,6
e,7
 ,8
s,9
e,10
q,11
u,12
o,13
i,14
a,15
i,0
m,1
a,2
g,3
i,4
n,5
a,6
t,7
i,8
o,9
n,10
h,0
a,1
z,2
e,3
l,4
 ,5
m,6
a,7
x,8
i,9
m,10
 ,11
j,12
o,13
u,14
s,15
t,16
 ,17
d,18
r,19
i,20
f,21
t,22
g,0
r,1
u,2
n,3
t,4
 ,5
v,6
e,7
x,8
i,9
l,10
 ,11
i,12
n,13
d,14
e,15
x,16
 ,17
l,18
a,19
p,20
s,21
e,22
g,0
l,1
e,2
n,3
t,4
 ,5
b,6
r,7
i,8
c,9
k,10
 ,11
j,12
u,13
m,14
p,15
y,16
e,0
x,1
i,2
s,3
t,4
 ,5
a,6
d,7
o,8
b,9
e,10
 ,11
f,12
l,13
i,14
n,15
t,16
f,0
a,1
b,2
l,3
e,4
 ,5
t,6
o,7
k,8
e,9
n,10
 ,11
g,12
l,13
o,14
o,15
m,16
 ,17
w,18
a,19
l,20
t,21
z,22
e,0
q,1
u,2
i,3
p,4
 ,5
b,6
u,7
m,8
p,9
y,10
 ,11
c,12
l,13
e,14
r,15
k,16
c,0
r,1
a,2
w,3
l,4
 ,5
d,6
e,7
a,8
l,9
t,10
 ,11
w,12
o,13
v,14
e,15
n,16
 ,17
a,18
m,19
e,20
n,21
d,22
c,0
o,1
u,2
g,3
h,4
s,5
 ,6
s,7
o,8
w,9
b,10
u,11
g,12
 ,13
z,14
e,15
b,16
r,17
a,18
 ,19
b,20
o,21
h,22
e,23
m,24
i,25
a,26
c,0
a,1
r,2
n,3
i,4
v,5
a,6
l,7
 ,8
v,9
i,10
o,11
l,12
e,13
t,14
s,15
b,0
o,1
u,2
g,3
i,4
e,5
 ,6
c,7
o,8
l,9
l,10
e,11
g,12
e,13
 ,14
o,15
m,16
e,17
g,18
a,19
b,0
o,1
u,2
g,3
i,4
e,5
 ,6
g,7
a,8
z,9
e,10
b,11
o,12
 ,13
h,14
o,15
a,16
g,17
i,18
e,19
 ,20
a,21
b,22
o,23
v,24
e,25
b,0
a,1
t,2
c,3
h,4
 ,5
j,6
u,7
m,8
b,9
o,10
 ,11
n,12
u,13
d,14
g,15
e,16
 ,17
w,18
i,19
p,20
e,21
r,22
b,0
l,1
e,2
n,3
d,4
 ,5
f,6
r,7
o,8
z,9
e,10
 ,11
g,12
l,13
y,14
p,15
h,16
