label,check
z,0
o,1
m,2
b,3
i,4
e,5
w,0
a,1
s,2
h,3
i,4
n,5
g,6
t,7
o,8
n,9
s,0
e,1
a,2
t,3
t,4
l,5
e,6
c,0
l,1
a,2
r,3
k,4
s,0
e,1
i,2
k,3
o,4
t,0
e,1
q,2
u,3
i,4
l,5
a,6
l,0
e,1
o,2
p,3
a,4
r,5
d,6
j,0
e,1
a,2
l,3
o,4
u,5
s,6
o,0
r,1
e,2
g,3
o,4
n,5
j,0
o,1
u,2
l,3
e,4
s,5
r,0
o,1
l,2
e,3
x,4
a,0
b,1
c,2
d,3
e,4
f,5
g,6
h,7
i,8
j,9
k,10
l,11
m,12
n,13
o,14
p,15
q,16
r,17
s,18
t,19
u,20
v,21
w,22
x,23
y,24
z,25
g,0
i,1
v,2
e,3
b,4
a,5
c,6
k,7
s,8
i,0
s,1
o,2
l,3
a,4
t,5
e,6
c,0
a,1
s,2
i,3
o,4
a,0
a,1
a,2
b,0
b,1
b,2
c,0
c,1
c,2
