label,check
a,0
a,1
a,2
b,0
b,1
b,2
c,0
a,1
d,2
e,3
n,4
c,0
a,1
r,2
n,3
i,4
v,5
a,6
l,7
 ,8
v,9
i,10
o,11
l,12
e,13
t,14
s,15
c,0
c,1
c,2
d,0
d,1
d,2
e,0
e,1
e,2
f,0
f,1
f,2
g,0
g,1
g,2
h,0
h,1
h,2
i,0
i,1
i,2
i,0
m,1
a,2
g,3
i,4
n,5
a,6
t,7
i,8
o,9
n,10
j,0
a,1
l,2
o,3
u,4
s,5
i,6
e,7
 ,8
s,9
e,10
q,11
u,12
o,13
i,14
a,15
j,0
j,1
j,2
k,0
k,1
k,2
k,3
k,4
l,0
l,1
l,2
l,3
l,4
m,0
m,1
m,2
m,3
m,4
m,0
y,1
t,2
h,3
s,4
 ,5
s,6
w,7
i,8
f,9
t,10
 ,11
q,12
u,13
a,14
k,15
e,16
 ,17
m,18
u,19
f,20
f,21
y,22
n,0
n,1
n,2
n,3
n,4
o,0
o,1
o,2
o,3
o,4
p,0
p,1
p,2
p,3
p,4
q,0
q,1
q,2
q,3
q,4
r,0
o,1
l,2
e,3
x,4
r,0
r,1
r,2
r,3
r,4
s,0
p,1
o,2
u,3
t,4
 ,5
j,6
e,7
l,8
l,9
y,10
 ,11
c,12
r,13
a,14
z,15
e,16
 ,17
v,18
o,19
u,20
c,21
h,22
s,0
s,1
s,2
s,3
s,4
t,0
t,1
t,2
t,3
t,4
u,0
u,1
u,2
u,3
u,4
v,0
v,1
v,2
v,3
v,4
 ,0
 ,1
 ,2
 ,3
 ,4
w,0
w,1
w,2
w,3
w,4
x,0
x,1
x,2
x,3
x,4
y,0
y,1
y,2
y,3
y,4
z,0
z,1
z,2
z,3
z,4
